                                   Date      Open      High       Low     Close      Volume          EMA7       MACD     signal   momentum        RSI          VWAP    Gradient
Date                                                                                                                                                                           
2020-12-13 08:45:00 2020-12-13 08:45:00  19177.00  19184.95  19153.23  19174.12   93.694294  19174.120000   0.000000   0.000000   0.000000  72.894193  19170.766667  129.816667
2020-12-13 08:46:00 2020-12-13 08:46:00  19174.12  19269.89  19165.83  19252.01  682.467988  19218.628571   1.747532   0.970851   0.776681  72.894193  19222.184333   39.900000
2020-12-13 08:47:00 2020-12-13 08:47:00  19263.31  19265.35  19222.00  19222.00  330.137773  19220.086486   1.296094   1.104148   0.191947  72.894193  19226.441438  -13.533333
2020-12-13 08:48:00 2020-12-13 08:48:00  19222.00  19264.86  19222.00  19235.77  193.895620  19225.822171   1.556168   1.257271   0.298897  72.894193  19228.594135    8.791667
2020-12-13 08:49:00 2020-12-13 08:49:00  19235.76  19240.00  19208.61  19232.55   95.980813  19228.027452   1.536596   1.340364   0.196232  72.894193  19228.488212    5.341667
2020-12-13 08:50:00 2020-12-13 08:50:00  19232.55  19249.90  19223.70  19242.18   65.641872  19232.331642   1.907732   1.494152   0.413580  72.894193  19228.941975   29.483333
2020-12-13 08:51:00 2020-12-13 08:51:00  19242.18  19306.27  19241.50  19267.93  920.333486  19242.602184   3.279404   1.945952   1.333452  76.976313  19245.538612    9.783333
2020-12-13 08:52:00 2020-12-13 08:52:00  19268.24  19274.77  19240.14  19253.92  128.071058  19245.746416   3.480110   2.314639   1.165471  70.085164  19246.086465  -28.191667
2020-12-13 08:53:00 2020-12-13 08:53:00  19253.92  19254.33  19230.12  19234.10   76.937477  19242.598448   2.582802   2.376586   0.206216  60.838966  19245.891091  -10.433333
2020-12-13 08:54:00 2020-12-13 08:54:00  19234.11  19257.14  19231.57  19241.40   30.320531  19242.280957   2.284717   2.356002  -0.071285  62.996607  19245.861887    4.600000
2020-12-13 08:55:00 2020-12-13 08:55:00  19241.40  19244.26  19222.23  19239.62   49.122733  19241.586382   1.942444   2.265518  -0.323074  61.997125  19245.668611   11.466667
2020-12-13 08:56:00 2020-12-13 08:56:00  19239.61  19265.26  19239.45  19255.16   59.500950  19245.090794   2.518707   2.319892   0.198815  67.413489  19245.834959    3.283333
2020-12-13 08:57:00 2020-12-13 08:57:00  19255.17  19257.27  19232.28  19243.56   41.869280  19244.698782   2.257405   2.306668  -0.049262  59.781365  19245.812799   -7.958333
2020-12-13 08:58:00 2020-12-13 08:58:00  19243.56  19258.48  19237.63  19245.61   36.323067  19244.930719   2.151309   2.274167  -0.122858  60.724338  19245.831285    3.433333
2020-12-13 08:59:00 2020-12-13 08:59:00  19245.61  19266.88  19242.00  19247.68   46.804583  19245.627349   2.166684   2.251886  -0.085202  61.809331  19252.186667   13.508333
2020-12-13 09:00:00 2020-12-13 09:00:00  19249.21  19291.08  19247.52  19261.82   96.024447  19249.716495   3.008704   2.407634   0.601071  68.860688  19262.015743   22.533333
2020-12-13 09:01:00 2020-12-13 09:01:00  19261.82  19285.16  19261.50  19274.72   62.009869  19256.014715   4.411835   2.817708   1.594127  74.096615  19265.581115    9.858333
2020-12-13 09:02:00 2020-12-13 09:02:00  19274.72  19300.00  19265.93  19273.65  164.018447  19260.448533   5.364783   3.336468   2.028314  72.876923  19271.930454   14.983333
