                                   Date     Open     High      Low    Close     Volume         Ema3         Ema6  Ema3-Ema6       Macd     Signal  Momentum  Macd-Signal        Rsi  Gradient      Buy     Sell        Target
Date                                                                                                                                                                                                                         
2021-02-26 15:00:00 2021-02-26 15:00:00  1206.33  1220.06  1204.11  1218.78  274.35176  1215.012263  1214.256288   0.755975  -3.487515  -3.565971  0.078456     0.078456  56.167055     660.5      NaN      NaN  [0.01, 0.01]
2021-02-26 15:05:00 2021-02-26 15:05:00  1218.40  1223.00  1216.41  1219.27  196.37239  1217.141132  1215.688777   1.452354  -2.905234  -3.433824  0.528590     0.528590  56.848824     -96.5      NaN      NaN  [0.01, 0.01]
2021-02-26 15:10:00 2021-02-26 15:10:00  1218.80  1220.48  1210.63  1216.85  199.40642  1216.995566  1216.020555   0.975011  -2.608971  -3.268853  0.659882     0.659882  52.050773     323.5      NaN      NaN  [0.01, 0.01]
2021-02-26 15:15:00 2021-02-26 15:15:00  1215.87  1227.90  1211.76  1225.74  167.21452  1221.367783  1218.797539   2.570243  -1.637951  -2.942673  1.304722     1.304722  65.053070     957.5      NaN      NaN  [0.01, 0.01]
2021-02-26 15:20:00 2021-02-26 15:20:00  1225.74  1236.72  1223.64  1236.00  282.74395  1228.683891  1223.712528   4.971363  -0.040053  -2.362149  2.322096     2.322096  74.594174     815.5      NaN  1236.00   [0.01, 1.0]
2021-02-26 15:25:00 2021-02-26 15:25:00  1236.00  1242.05  1232.75  1242.05  291.27439  1235.366946  1228.951806   6.415140   1.694940  -1.550731  3.245671     3.245671  78.707598     958.5      NaN      NaN  [0.01, 0.01]
2021-02-26 15:30:00 2021-02-26 15:30:00  1242.23  1255.17  1242.22  1255.17  348.91198  1245.268473  1236.442718   8.825754   4.081558  -0.424273  4.505831     4.505831  85.019459     830.5      NaN      NaN  [0.01, 0.01]
2021-02-26 15:35:00 2021-02-26 15:35:00  1255.42  1258.66  1251.74  1258.66  100.87503  1251.964236  1242.790513   9.173723   6.183307   0.897243  5.286064     5.286064  86.314453     241.5      NaN      NaN  [0.01, 0.01]
2021-02-26 15:40:00 2021-02-26 15:40:00  1258.66  1262.57  1253.14  1260.00  444.85305  1255.982118  1247.707509   8.274609   7.866406   2.291076  5.575331     5.575331  86.838658    -100.0      NaN      NaN  [0.01, 0.01]
2021-02-26 15:45:00 2021-02-26 15:45:00  1259.78  1260.90  1254.69  1256.66  182.02928  1256.321059  1250.265364   6.055695   8.828989   3.598658  5.230331     5.230331  77.912419    -248.0      NaN      NaN  [0.01, 0.01]
2021-02-26 15:50:00 2021-02-26 15:50:00  1256.71  1257.98  1254.67  1255.04  136.33443  1255.680530  1251.629546   4.050984   9.353303   4.749587  4.603716     4.603716  73.514204    -294.0      NaN      NaN  [0.01, 0.01]
2021-02-26 15:55:00 2021-02-26 15:55:00  1255.03  1256.31  1250.37  1250.78  204.78606  1253.230265  1251.386818   1.843446   9.317671   5.663204  3.654467     3.654467  62.398875    -358.0      NaN      NaN  [0.01, 0.01]
2021-02-26 16:00:00 2021-02-26 16:00:00  1250.94  1251.71  1243.90  1247.88  190.03486  1250.555132  1250.384870   0.170262   8.952231   6.321010  2.631222     2.631222  55.538964    -236.5      NaN      NaN  [0.01, 0.01]
2021-02-26 16:05:00 2021-02-26 16:05:00  1247.93  1251.10  1243.79  1246.05  108.45512  1248.302566  1249.146336  -0.843770   8.417915   6.740391  1.677525     1.677525  51.270754    -163.5      NaN      NaN  [0.01, 0.01]
2021-02-26 16:10:00 2021-02-26 16:10:00  1246.23  1247.00  1241.43  1244.61  204.49281  1246.456283  1247.850240  -1.393957   7.788489   6.950010  0.838479     0.838479  47.801901     258.5      NaN      NaN  [0.01, 0.01]
2021-02-26 16:15:00 2021-02-26 16:15:00  1245.37  1252.49  1244.52  1251.22  171.71160  1248.838142  1248.813029   0.025113   7.733885   7.106785  0.627100     0.627100  61.973591      99.5      NaN      NaN  [0.01, 0.01]
2021-02-26 16:20:00 2021-02-26 16:20:00  1250.96  1253.06  1246.60  1246.60  252.69556  1247.719071  1248.180735  -0.461664   7.234421   7.132313  0.102109     0.102109  50.478872    -345.5      NaN      NaN  [0.01, 0.01]
2021-02-26 16:25:00 2021-02-26 16:25:00  1246.53  1251.83  1244.31  1244.31  169.07471  1246.014535  1247.074810  -1.060275   6.577982   7.021446 -0.443464    -0.443464  45.463228     420.0  1244.31      NaN   [1.0, 0.01]
2021-02-26 16:30:00 2021-02-26 16:30:00  1244.44  1255.65  1244.44  1255.00  209.78042  1250.507268  1249.339150   1.168117   6.841478   6.985453 -0.143974    -0.143974  64.964094    1218.0      NaN      NaN  [0.01, 0.01]
2021-02-26 16:35:00 2021-02-26 16:35:00  1254.81  1269.00  1254.54  1268.67  363.81564  1259.588634  1254.862250   4.726384   8.060440   7.200450  0.859990     0.859990  77.377245     731.5      NaN      NaN  [0.01, 0.01]
2021-02-26 16:40:00 2021-02-26 16:40:00  1268.67  1270.40  1263.48  1269.63  364.00949  1264.609317  1259.081607   5.527710   9.000192   7.560399  1.439793     1.439793  78.033120     -12.5      NaN  1269.63   [0.01, 1.0]
2021-02-26 16:45:00 2021-02-26 16:45:00  1269.63  1271.41  1264.97  1268.42  437.23167  1266.514658  1261.749720   4.764939   9.537374   7.955794  1.581580     1.581580  74.755099    -230.5      NaN      NaN  [0.01, 0.01]
2021-02-26 16:50:00 2021-02-26 16:50:00  1268.48  1269.59  1264.61  1265.02   96.87689  1265.767329  1262.684085   3.083244   9.578330   8.280301  1.298029     1.298029  65.480043    -154.5      NaN      NaN  [0.01, 0.01]
2021-02-26 16:55:00 2021-02-26 16:55:00  1265.67  1266.24  1261.95  1265.33  210.32311  1265.548665  1263.440061   2.108604   9.525992   8.529439  0.996553     0.996553  65.942375     -79.0      NaN      NaN  [0.01, 0.01]
2021-02-26 17:00:00 2021-02-26 17:00:00  1264.89  1274.04  1263.44  1263.44  305.65398  1264.494332  1263.440044   1.054289   9.225660   8.668683  0.556976     0.556976  60.057560     400.5      NaN      NaN  [0.01, 0.01]
2021-02-26 17:05:00 2021-02-26 17:05:00  1263.68  1276.47  1263.68  1273.34  192.73401  1268.917166  1266.268603   2.648564   9.674964   8.869939  0.805025     0.805025  74.411428     181.0      NaN      NaN  [0.01, 0.01]
2021-02-26 17:10:00 2021-02-26 17:10:00  1273.66  1274.11  1266.00  1267.06  149.43025  1267.988583  1266.494716   1.493867   9.415759   8.979103  0.436655     0.436655  58.428256     -99.0      NaN      NaN  [0.01, 0.01]
2021-02-26 17:15:00 2021-02-26 17:15:00  1267.00  1272.28  1265.22  1271.36  296.67634  1269.674292  1267.884797   1.789494   9.448395   9.072962  0.375434     0.375434  64.664519     659.0      NaN      NaN  [0.01, 0.01]
2021-02-26 17:20:00 2021-02-26 17:20:00  1271.68  1280.93  1269.86  1280.24  226.68509  1274.957146  1271.414855   3.542291  10.074668   9.273303  0.801365     0.801365  74.240597     409.5      NaN      NaN  [0.01, 0.01]
2021-02-26 17:25:00 2021-02-26 17:25:00  1280.31  1282.49  1277.42  1279.55  192.10752  1277.253573  1273.739182   3.514391  10.395483   9.497739  0.897744     0.897744  72.410823    -155.5      NaN      NaN  [0.01, 0.01]
2021-02-26 17:30:00 2021-02-26 17:30:00  1279.04  1283.00  1275.95  1277.13  139.92896  1277.191786  1274.707987   2.483799  10.335318   9.665255  0.670064     0.670064  65.605569      13.0      NaN      NaN  [0.01, 0.01]
2021-02-26 17:35:00 2021-02-26 17:35:00  1276.84  1280.31  1276.72  1279.81  140.76148  1278.500893  1276.165705   2.335188  10.384189   9.809042  0.575147     0.575147  69.424291    -125.0      NaN      NaN  [0.01, 0.01]
2021-02-26 17:40:00 2021-02-26 17:40:00  1279.75  1281.57  1274.38  1274.63  100.97741  1276.565447  1275.726932   0.838514   9.890920   9.825417  0.065502     0.065502  55.207432    -166.5      NaN      NaN  [0.01, 0.01]
2021-02-26 17:45:00 2021-02-26 17:45:00  1274.85  1277.00  1270.12  1276.48  171.90315  1276.522723  1275.942095   0.580629   9.539317   9.768197 -0.228880    -0.228880  58.821420      49.5      NaN      NaN  [0.01, 0.01]
2021-02-26 17:50:00 2021-02-26 17:50:00  1277.00  1277.45  1272.84  1275.62  116.81630  1276.071362  1275.850068   0.221294   9.086530   9.631864 -0.545334    -0.545334  56.288015     337.0      NaN      NaN  [0.01, 0.01]
2021-02-26 17:55:00 2021-02-26 17:55:00  1274.99  1285.01  1271.76  1283.22  138.90605  1279.645681  1277.955763   1.689918   9.234500   9.552391 -0.317891    -0.317891  69.993208     695.0      NaN      NaN  [0.01, 0.01]
2021-02-26 18:00:00 2021-02-26 18:00:00  1283.36  1292.28  1283.36  1289.52  160.64208  1284.582840  1281.259830   3.323010   9.747759   9.591465  0.156295     0.156295  77.126944     311.0      NaN      NaN  [0.01, 0.01]
2021-02-26 18:05:00 2021-02-26 18:05:00  1289.47  1293.78  1286.00  1289.44  283.56764  1287.011420  1283.597022   3.414399  10.032418   9.679655  0.352762     0.352762  76.848548    -320.0      NaN      NaN  [0.01, 0.01]
2021-02-26 18:10:00 2021-02-26 18:10:00  1289.48  1290.70  1282.68  1283.12  133.07754  1285.065710  1283.460730   1.604980   9.636952   9.671115 -0.034163    -0.034163  57.256130    -408.5      NaN      NaN  [0.01, 0.01]
2021-02-26 18:15:00 2021-02-26 18:15:00  1283.24  1283.73  1278.54  1281.27  105.03489  1283.167855  1282.834807   0.333048   9.069712   9.550834 -0.481122    -0.481122  52.550030    -159.0      NaN      NaN  [0.01, 0.01]
2021-02-26 18:20:00 2021-02-26 18:20:00  1281.26  1283.71  1278.10  1279.94  120.84740  1281.553928  1282.007719  -0.453792   8.415839   9.323835 -0.907996    -0.907996  49.070498    -310.0      NaN      NaN  [0.01, 0.01]
2021-02-26 18:25:00 2021-02-26 18:25:00  1280.50  1283.22  1272.91  1275.07  136.21646  1278.311964  1280.025514  -1.713550   7.419148   8.942898 -1.523750    -1.523750  38.011388    -140.5      NaN      NaN  [0.01, 0.01]
2021-02-26 18:30:00 2021-02-26 18:30:00  1275.64  1280.83  1274.91  1277.13  132.52213  1277.720982  1279.198224  -1.477242   6.718046   8.497927 -1.779881    -1.779881  44.374810    -321.5      NaN      NaN  [0.01, 0.01]
2021-02-26 18:35:00 2021-02-26 18:35:00  1276.80  1281.85  1268.56  1268.64  160.99324  1273.180491  1276.181589  -3.001098   5.414926   7.881327 -2.466401    -2.466401  29.432273    -469.0      NaN      NaN  [0.01, 0.01]
2021-02-26 18:40:00 2021-02-26 18:40:00  1269.14  1269.99  1265.54  1267.75  121.94557  1270.465245  1273.772563  -3.307318   4.261257   7.157313 -2.896056    -2.896056  28.236200    -297.5      NaN      NaN  [0.01, 0.01]
2021-02-26 18:45:00 2021-02-26 18:45:00  1267.75  1268.67  1256.00  1262.69  336.98013  1266.577623  1270.606117  -4.028494   2.905178   6.306886 -3.401708    -3.401708  22.106982    -328.5      NaN      NaN  [0.01, 0.01]
2021-02-26 18:50:00 2021-02-26 18:50:00  1262.69  1264.90  1260.12  1261.18  118.87653  1263.878811  1267.912940  -4.034129   1.689159   5.383341 -3.694182    -3.694182  20.512482    -134.5      NaN      NaN  [0.01, 0.01]
2021-02-26 18:55:00 2021-02-26 18:55:00  1261.30  1262.71  1259.49  1260.00  161.39624  1261.939406  1265.652100  -3.712695   0.623057   4.431284 -3.808227    -3.808227  19.212982     288.5      NaN      NaN  [0.01, 0.01]
2021-02-26 19:00:00 2021-02-26 19:00:00  1260.00  1267.77  1260.00  1266.95  142.72367  1264.444703  1266.022929  -1.578226   0.335107   3.612049 -3.276941    -3.276941  44.198486     286.5      NaN      NaN  [0.01, 0.01]
2021-02-26 19:05:00 2021-02-26 19:05:00  1266.86  1267.04  1262.97  1265.73  197.20887  1265.087351  1265.939235  -0.851883   0.008365   2.891312 -2.882947    -2.882947  41.495149    -145.0      NaN      NaN  [0.01, 0.01]
2021-02-26 19:10:00 2021-02-26 19:10:00  1265.71  1265.98  1263.01  1264.05  190.63012  1264.568676  1265.399453  -0.830778  -0.381742   2.236701 -2.618443    -2.618443  37.686195    -632.0      NaN      NaN  [0.01, 0.01]
2021-02-26 19:15:00 2021-02-26 19:15:00  1264.13  1265.82  1252.43  1253.09  176.66702  1258.829338  1261.882467  -3.053129  -1.557333   1.477894 -3.035227    -3.035227  21.928349    -243.5      NaN      NaN  [0.01, 0.01]
2021-02-26 19:20:00 2021-02-26 19:20:00  1253.26  1261.51  1253.26  1259.18  135.51547  1259.004669  1261.110333  -2.105664  -1.974821   0.787351 -2.762172    -2.762172  38.949587     290.0      NaN      NaN  [0.01, 0.01]
2021-02-26 19:25:00 2021-02-26 19:25:00  1259.62  1260.92  1255.45  1258.89  116.66401  1258.947334  1260.475952  -1.528618  -2.302541   0.169373 -2.471914    -2.471914  38.470312      52.0      NaN      NaN  [0.01, 0.01]
2021-02-26 19:30:00 2021-02-26 19:30:00  1259.74  1263.79  1258.51  1260.22  113.82340  1259.583667  1260.402823  -0.819156  -2.426966  -0.349895 -2.077071    -2.077071  42.372828     181.5      NaN      NaN  [0.01, 0.01]
2021-02-26 19:35:00 2021-02-26 19:35:00  1260.26  1264.10  1256.27  1262.52  153.62578  1261.051834  1261.007731   0.044103  -2.313316  -0.742579 -1.570737    -1.570737  49.075450     244.5      NaN      NaN  [0.01, 0.01]
2021-02-26 19:40:00 2021-02-26 19:40:00  1262.75  1265.36  1260.75  1265.11  104.57920  1263.080917  1262.179808   0.901109  -1.991301  -0.992323 -0.998978    -0.998978  55.992175    -168.0      NaN      NaN  [0.01, 0.01]
2021-02-26 19:45:00 2021-02-26 19:45:00  1265.19  1265.30  1253.92  1259.16  165.06120  1261.120458  1261.317006  -0.196547  -2.190962  -1.232051 -0.958911    -0.958911  40.738442    -443.5      NaN      NaN  [0.01, 0.01]
2021-02-26 19:50:00 2021-02-26 19:50:00  1259.53  1260.44  1251.75  1256.24  105.36993  1258.680229  1259.866433  -1.186203  -2.555357  -1.496712 -1.058645    -1.058645  35.106217    -492.5      NaN      NaN  [0.01, 0.01]
2021-02-26 19:55:00 2021-02-26 19:55:00  1256.23  1258.18  1248.73  1249.31  309.39309  1253.995115  1256.850309  -2.855194  -3.364552  -1.870280 -1.494272    -1.494272  25.188536    -312.5      NaN      NaN  [0.01, 0.01]
2021-02-26 20:00:00 2021-02-26 20:00:00  1249.36  1254.65  1248.75  1249.99  187.60360  1251.992557  1254.890221  -2.897663  -3.905949  -2.277414 -1.628535    -1.628535  27.596997    -240.5      NaN      NaN  [0.01, 0.01]
