Date,Date,Open,High,Low,Close,Volume,Close-Open,Ema3,Ema6,Ema3-Ema6,Macd,Signal,Momentum,Rsi,Gradient
2021-06-05 00:00:00,2021-06-05 00:00:00,2251.1,2256.0,2241.43,2242.02,193.63705,-9.079999999999927,2244.7101146430896,2244.5727965085675,0.13731813452204733,7.081436976339319,7.241405946888554,-0.15996897054923487,48.63966254966258,-628.4999999999854
2021-06-05 00:05:00,2021-06-05 00:05:00,2242.02,2247.99,2238.4,2238.4,153.66346,-3.619999999999891,2241.555057321545,2242.8091403632625,-1.254083041717422,6.255129048032813,7.044150567117406,-0.7890215190845922,42.45989789899702,-2.500000000009095
2021-06-05 00:10:00,2021-06-05 00:10:00,2238.83,2242.59,2233.17,2241.97,165.75163,3.1399999999998727,2241.7625286607727,2242.569385973759,-0.8068573129862671,5.821239599381897,6.799568373570304,-0.978328774188407,49.98063561253808,94.49999999999363
2021-06-05 00:15:00,2021-06-05 00:15:00,2241.65,2243.75,2236.48,2240.29,80.15244,-1.3600000000001273,2241.0262643303863,2241.9181328383993,-0.8918685080129762,5.280941716827783,6.495843042221801,-1.2149013253940177,46.545161591628506,-229.49999999998454
2021-06-05 00:20:00,2021-06-05 00:20:00,2240.28,2240.51,2234.03,2237.38,78.88096,-2.900000000000091,2239.203132165193,2240.6215234559995,-1.4183912908065395,4.565312985859691,6.10973703094938,-1.5444240450896887,40.726455026649376,-124.49999999998909
2021-06-05 00:25:00,2021-06-05 00:25:00,2237.24,2242.59,2237.13,2237.8,93.64023,0.5600000000004002,2238.5015660825966,2239.8153738971423,-1.3138078145457257,3.986113119878155,5.685012248735135,-1.6988991288569801,41.98262253306645,375.4999999999882
2021-06-05 00:30:00,2021-06-05 00:30:00,2237.8,2246.47,2237.8,2244.89,95.39878,7.089999999999691,2241.6957830412985,2241.2652670693874,0.4305159719110634,4.052482306132788,5.358506260214666,-1.306023954081878,59.408648467364394,673.0000000000018
2021-06-05 00:35:00,2021-06-05 00:35:00,2244.75,2251.99,2242.96,2251.26,67.55861,6.510000000000218,2246.4778915206493,2244.1209050495627,2.356986471086657,4.566446969937715,5.200094402159276,-0.6336474322215606,69.3379015309375,-8.999999999991815
2021-06-05 00:40:00,2021-06-05 00:40:00,2251.03,2253.15,2242.88,2244.71,78.5281,-6.320000000000164,2245.5939457603245,2244.289217892545,1.3047278677795475,4.394579433375384,5.038991408402497,-0.6444119750271131,53.26176358998601,-21.500000000014552
2021-06-05 00:45:00,2021-06-05 00:45:00,2244.52,2251.85,2244.46,2250.83,93.35032,6.309999999999945,2248.211972880162,2246.158012780389,2.0539600997731213,4.698049831414664,4.97080309300493,-0.2727532615902657,62.9049111774035,208.99999999999181
