Date,Date,Open,High,Low,Close,Volume,Ema3,Ema6,Ema3-Ema6,Macd,Signal,Momentum,Rsi,Gradient
2021-03-06 00:00:00,2021-03-06 00:00:00,1290.19,1293.45,1289.52,1291.75,75.48301,1291.8917023892304,1292.5251032404462,-0.6334008512158107,1.765975255566218,2.3233247051400063,-0.5573494495737883,47.12029472775714,-289.4999999999982
2021-03-06 00:05:00,2021-03-06 00:05:00,1291.78,1291.78,1284.47,1284.47,126.15048,1288.1808511946151,1290.2236451717474,-2.0427939771323054,0.9902234137239248,2.05670444685679,-1.0664810331328654,31.752776393719913,-283.50000000000364
2021-03-06 00:10:00,2021-03-06 00:10:00,1284.58,1288.73,1283.67,1286.08,103.76688,1287.1304255973075,1289.0397465512483,-1.909320953940778,0.49958908277949376,1.7452813740413309,-1.2456922912618371,37.18911382317805,129.99999999999545
2021-03-06 00:15:00,2021-03-06 00:15:00,1286.07,1287.66,1284.57,1287.07,62.85683,1287.1002127986537,1288.4769618223202,-1.3767490236664344,0.1884700020366381,1.4339190996403923,-1.2454490976037542,40.67603516228418,-9.49999999999136
2021-03-06 00:20:00,2021-03-06 00:20:00,1286.8,1287.12,1284.81,1285.89,74.17359,1286.495106399327,1287.737829873086,-1.2427234737590425,-0.151563123924916,1.1168226549273308,-1.2683857788522468,37.68383666146266,-97.50000000000227
2021-03-06 00:25:00,2021-03-06 00:25:00,1286.02,1286.6,1279.62,1285.12,180.61542,1285.8075531996633,1286.9898784807756,-1.1823252811122984,-0.4776681300322707,0.7979244979354105,-1.2755926279676812,35.63137822093499,-162.00000000000045
2021-03-06 00:30:00,2021-03-06 00:30:00,1284.84,1285.62,1281.71,1282.65,82.3242,1284.2287765998317,1285.749913200554,-1.5211366007222296,-0.924757030771616,0.4533881921940052,-1.3781452229656213,29.45580083588949,-47.499999999990905
2021-03-06 00:35:00,2021-03-06 00:35:00,1283.09,1285.02,1282.15,1284.17,73.48398,1284.1993882999159,1285.298509428967,-1.0991211290511274,-1.1432482546470055,0.1340609028258031,-1.2773091574728086,37.46020944129328,120.99999999999227
2021-03-06 00:40:00,2021-03-06 00:40:00,1284.43,1285.14,1283.16,1285.07,68.06803,1284.6346941499578,1285.2332210206907,-0.5985268707329396,-1.2296074955218046,-0.13867277684371843,-1.0909347186780862,42.12606333115132,99.00000000000091
2021-03-06 00:45:00,2021-03-06 00:45:00,1284.99,1287.31,1283.95,1286.15,65.91598,1285.392347074979,1285.495157871922,-0.10281079694300388,-1.19710140224106,-0.35035850192318674,-0.8467429003178732,47.74045642678592,82.50000000000455
2021-03-06 00:50:00,2021-03-06 00:50:00,1286.59,1287.65,1285.98,1286.72,15.72091,1286.0561735374895,1285.8451127656585,0.21106077183094385,-1.1125213986481413,-0.5027910812681777,-0.6097303173799635,50.765434611004274,-85.50000000000182
2021-03-06 00:55:00,2021-03-06 00:55:00,1286.25,1289.47,1283.6,1284.44,61.8619,1285.2480867687448,1285.4436519754704,-0.19556520672563238,-1.2154570494099062,-0.6453242748965234,-0.5701327745133827,39.727474316301716,303.4999999999968
2021-03-06 01:00:00,2021-03-06 01:00:00,1284.15,1293.67,1284.11,1292.79,163.73396,1289.0190433843723,1287.5426085539075,1.4764348304647683,-0.6161564105548223,-0.6394907020281833,0.02333429147336097,69.1787406574793,448.0000000000018
2021-03-06 01:05:00,2021-03-06 01:05:00,1292.73,1298.81,1292.73,1293.4,141.9476,1291.2095216921862,1289.2161489670768,1.9933727251093387,-0.09093617885287131,-0.5297797973931209,0.43884361854024956,70.44476932957892,237.00000000000045
2021-03-06 01:10:00,2021-03-06 01:10:00,1293.4,1298.22,1290.65,1297.53,87.3082,1294.369760846093,1291.5915349764834,2.778225869609514,0.6510561528666585,-0.293612607341165,0.9446687602078235,77.84016157719313,59.49999999999136
2021-03-06 01:15:00,2021-03-06 01:15:00,1298.1,1298.25,1293.43,1294.59,63.89305,1294.4798804230463,1292.4482392689167,2.031641154129602,0.9904398184260117,-0.036802122187729686,1.0272419406137414,64.131975181484,-29.999999999995453
2021-03-06 01:20:00,2021-03-06 01:20:00,1294.89,1298.0,1294.89,1296.93,51.14765,1295.704940211523,1293.7287423349405,1.976197876582546,1.4317183049079176,0.2569019632313998,1.1748163416765178,69.29633266779321,277.00000000000955
2021-03-06 01:25:00,2021-03-06 01:25:00,1296.75,1300.29,1296.65,1300.13,78.73274,1297.9174701057616,1295.5576730963862,2.35979700937537,2.0164040899871907,0.608802388582558,1.4076017014046327,75.16444121192454,64.99999999999773
2021-03-06 01:30:00,2021-03-06 01:30:00,1300.27,1300.72,1297.34,1298.23,47.64461,1298.0737350528807,1296.3211950688474,1.7525399840333193,2.2999453279840054,0.9470309764628475,1.352914351521158,66.15577461749724,-149.50000000000045
2021-03-06 01:35:00,2021-03-06 01:35:00,1298.79,1299.83,1296.43,1297.14,34.59895,1297.6068675264405,1296.555139334891,1.0517281915495005,2.408931251451804,1.239411031460639,1.1695202199911652,61.11336179347344,-85.00000000000227
2021-03-06 01:40:00,2021-03-06 01:40:00,1297.12,1297.56,1296.26,1296.53,38.49166,1297.0684337632201,1296.5479566677793,0.5204770954408104,2.418205906573803,1.475170006483272,0.9430359000905311,58.13750770682037,-246.00000000000364
2021-03-06 01:45:00,2021-03-06 01:45:00,1296.46,1297.3,1291.38,1292.22,47.13223,1294.6442168816102,1295.3113976198424,-0.6671807382322186,2.054096808375334,1.5909553668616845,0.46314144151364967,41.1487731472177,-391.9999999999959
